Income,Age,LoanAmount,CreditHistory,ExistingDebts,Score
110245,58,9882,1,2,Good
85859,19,13141,1,1,Good
55538,19,22905,1,9,Good
176273,65,12023,1,5,Good
90758,55,1490,1,2,Good
148994,23,23708,1,5,Good
129062,71,46018,1,4,Good
119545,54,18474,1,9,Good
149871,34,38874,0,2,Average
52908,54,37701,1,4,Good
185770,60,37676,1,9,Good
150236,49,23498,1,3,Good
88325,39,48537,1,4,Good
39815,26,17900,0,9,Average
133287,53,25677,1,8,Good
56275,67,22743,1,5,Good
62511,59,37311,1,8,Good
135557,61,14611,1,6,Good
95811,76,10253,1,3,Good
96507,41,37677,1,8,Good
117029,72,3374,0,9,Average
184947,33,27221,1,5,Good
174457,57,11716,1,7,Good
151645,78,39951,0,3,Average
195514,61,12785,1,7,Good
79376,22,36176,1,4,Good
27448,24,19614,1,5,Poor
173869,68,2621,1,9,Good
81697,49,12783,1,9,Good
135089,55,12370,0,8,Average
124994,50,38682,1,7,Good
99685,26,13396,1,1,Good
80559,50,10883,1,7,Good
85076,24,31523,1,9,Good
170638,69,39971,1,1,Good
68574,59,47433,1,5,Good
159440,74,30393,0,5,Average
86368,37,14334,0,3,Average
179516,65,23450,1,1,Good
83022,78,48431,0,4,Average
66615,61,12545,1,4,Good
154117,77,27162,1,5,Good
134302,43,42540,1,3,Good
54020,27,25382,1,4,Good
110660,52,4875,1,9,Good
110318,20,8985,1,2,Good
51154,71,10672,1,9,Good
151557,43,36893,1,4,Good
75557,55,29437,1,5,Good
171631,55,30075,1,7,Good
196887,31,13455,0,6,Average
104766,71,32994,1,7,Good
148882,33,46738,1,0,Good
176489,78,2347,1,9,Good
198284,27,25055,1,7,Good
95977,63,1960,1,0,Good
37518,68,33070,1,3,Average
114714,53,18230,1,1,Good
175002,37,17253,1,9,Good
95421,67,14163,0,0,Average
56410,53,46630,0,5,Average
177522,33,49135,1,5,Good
144636,74,3745,1,8,Good
130964,68,31997,1,5,Good
117615,67,31593,1,1,Good
148399,66,42876,1,4,Good
177761,73,31569,1,1,Good
157353,57,22130,1,0,Good
159835,25,19896,1,0,Good
112654,27,26687,1,8,Good
136907,42,26702,1,1,Good
91037,56,18170,1,9,Good
101386,57,16280,1,7,Good
52874,46,6294,1,7,Good
